iso-date,tmin,tmax,tavg,globrad,precip,wind,relhumid
2009-1-1,-2.08,0.32,-0.88,1.477,0.0,0.0,80.0
2009-1-2,-2.08,1.32,-0.38,3.457,0.0,0.0,80.0
2009-1-3,-5.88,0.12,-2.88,6.217,0.0,0.0,80.0
2009-1-4,-11.58,-0.79,-6.19,5.614,0.0,0.0,80.0
2009-1-5,-7.77,-2.37,-5.07,1.698,0.4,0.0,80.0
2009-1-6,-4.78,-2.98,-3.88,3.018,0.0,0.0,80.0
2009-1-7,-10.19,-2.28,-6.23,5.858,0.0,0.0,80.0
2009-1-8,-5.28,-0.29,-2.79,6.663,0.0,0.0,80.0
2009-1-9,-11.49,0.39,-5.55,6.738,0.0,0.0,80.0
2009-1-10,-11.6,4.19,-3.7,6.899,0.0,0.0,80.0
2009-1-11,-8.91,9.0,0.04,7.249,0.0,0.0,80.0
2009-1-12,-6.9,1.39,-2.76,5.996,0.0,0.0,80.0
2009-1-13,-4.5,5.1,0.3,6.024,0.8,0.0,80.0
2009-1-14,-2.59,2.13,-0.23,1.299,0.0,0.0,80.0
2009-1-15,-2.68,2.21,-0.24,6.739,0.0,0.0,80.0
2009-1-16,-1.9,3.21,0.66,5.521,0.0,0.0,80.0
2009-1-17,-2.49,7.12,2.31,2.807,0.0,0.0,80.0
2009-1-18,0.02,6.13,3.07,1.315,14.6,0.0,80.0
2009-1-19,2.32,10.03,6.17,3.066,3.8,0.0,80.0
2009-1-20,-0.08,7.43,3.67,6.689,0.0,0.0,80.0
2009-1-21,-0.98,4.83,1.93,3.243,0.0,0.0,80.0
2009-1-22,-2.48,5.02,1.27,3.069,3.2,0.0,80.0
2009-1-23,1.72,11.32,6.52,2.183,13.8,0.0,80.0
2009-1-24,-0.18,4.23,2.03,2.56,0.0,0.0,80.0
2009-1-25,-1.08,6.02,2.47,8.046,0.0,0.0,80.0
2009-1-26,-0.08,3.92,1.92,2.556,0.0,0.0,80.0
2009-1-27,1.72,3.03,2.38,1.452,0.8,0.0,80.0
2009-1-28,-2.88,3.42,0.27,4.506,0.0,0.0,80.0
2009-1-29,-6.07,3.32,-1.38,8.439,0.0,0.0,80.0
2009-1-30,-4.79,3.51,-0.64,8.732,0.0,0.0,80.0
2009-1-31,-3.68,2.21,-0.74,8.867,0.0,0.0,80.0
2009-2-1,-6.28,1.42,-2.43,5.057,4.6,0.0,80.0
2009-2-2,-0.88,4.11,1.62,2.609,6.0,0.0,80.0
2009-2-3,-0.98,1.72,0.37,1.821,8.8,0.0,80.0
2009-2-4,-1.98,4.42,1.22,4.87,0.0,0.0,80.0
2009-2-5,0.92,10.62,5.77,6.869,0.4,0.0,80.0
2009-2-6,4.12,7.83,5.97,4.631,0.8,0.0,80.0
2009-2-7,2.73,4.03,3.38,1.035,8.0,0.0,80.0
2009-2-8,-0.48,2.73,1.13,5.028,0.0,0.0,80.0
2009-2-9,-0.57,9.13,4.28,2.472,10.2,0.0,80.0
2009-2-10,2.62,6.03,4.33,1.791,5.4,0.0,80.0
2009-2-11,0.02,4.03,2.02,8.189,1.2,0.0,80.0
2009-2-12,-0.28,3.04,1.38,5.026,0.8,0.0,80.0
2009-2-13,-1.18,2.83,0.83,3.618,0.0,0.0,80.0
2009-2-14,-0.78,3.13,1.17,5.332,0.0,0.0,80.0
2009-2-15,-7.78,3.23,-2.28,9.717,0.2,0.0,80.0
2009-2-16,-3.07,2.23,-0.42,2.374,3.6,0.0,80.0
2009-2-17,0.42,5.93,3.17,1.429,3.6,0.0,80.0
2009-2-18,-3.88,2.63,-0.63,10.815,0.0,0.0,80.0
2009-2-19,-7.18,4.93,-1.13,12.104,0.0,0.0,80.0
2009-2-20,-1.88,4.62,1.37,3.958,0.0,0.0,80.0
2009-2-21,-1.28,6.13,2.42,6.877,0.0,0.0,80.0
2009-2-22,2.81,5.03,3.92,1.761,2.2,0.0,80.0
2009-2-23,3.82,6.03,4.92,2.915,2.0,0.0,80.0
2009-2-24,2.32,7.43,4.88,6.136,0.0,0.0,80.0
2009-2-25,-3.88,9.12,2.62,13.163,0.0,0.0,80.0
2009-2-26,-2.79,7.32,2.27,6.905,0.0,0.0,80.0
2009-2-27,3.51,11.02,7.26,10.318,0.0,0.0,80.0
2009-2-28,-1.09,14.41,6.66,13.761,0.0,0.0,80.0
2009-3-1,4.11,13.13,8.62,4.962,0.2,0.0,80.0
2009-3-2,5.62,7.44,6.53,2.125,0.2,0.0,80.0
2009-3-3,0.01,11.63,5.82,10.618,0.0,0.0,80.0
2009-3-4,1.12,8.32,4.72,2.836,4.0,0.0,80.0
2009-3-5,1.32,5.93,3.63,6.605,0.8,0.0,80.0
2009-3-6,0.73,7.53,4.13,8.564,0.8,0.0,80.0
2009-3-7,-3.08,9.93,3.42,10.903,0.0,0.0,80.0
2009-3-8,4.33,10.23,7.28,5.32,7.6,0.0,80.0
2009-3-9,2.03,8.44,5.23,8.876,2.6,0.0,80.0
2009-3-10,3.02,6.83,4.92,2.713,10.2,0.0,80.0
2009-3-11,2.51,8.83,5.67,11.306,0.0,0.0,80.0
2009-3-12,-2.38,10.22,3.92,6.56,0.0,0.0,80.0
2009-3-13,4.51,13.61,9.06,10.959,0.0,0.0,80.0
2009-3-14,1.9,16.6,9.25,10.899,0.2,0.0,80.0
2009-3-15,6.31,12.92,9.62,14.104,0.0,0.0,80.0
2009-3-16,-0.68,14.12,6.72,16.74,0.0,0.0,80.0
2009-3-17,-1.29,16.12,7.42,16.638,0.0,0.0,80.0
2009-3-18,1.51,17.01,9.26,18.455,0.0,0.0,80.0
2009-3-19,-2.0,15.22,6.61,17.774,0.0,0.0,80.0
2009-3-20,-0.58,7.93,3.67,18.951,0.0,0.0,80.0
2009-3-21,-3.58,10.02,3.22,18.022,0.0,0.0,80.0
2009-3-22,-4.09,11.13,3.52,11.699,0.0,0.0,80.0
2009-3-23,-1.58,13.02,5.72,10.788,3.6,0.0,80.0
2009-3-24,1.92,7.24,4.58,6.551,3.0,0.0,80.0
2009-3-25,1.52,7.44,4.48,5.399,6.0,0.0,80.0
2009-3-26,3.22,9.93,6.58,7.304,3.0,0.0,80.0
2009-3-27,4.72,10.03,7.38,8.902,2.8,0.0,80.0
2009-3-28,5.42,11.23,8.32,8.505,1.8,0.0,80.0
2009-3-29,1.32,7.63,4.47,9.431,0.0,0.0,80.0
2009-3-30,0.31,10.93,5.62,13.417,0.0,0.0,80.0
2009-3-31,2.02,15.02,8.52,20.576,0.0,0.0,80.0
2009-4-1,2.53,12.23,7.38,16.858,0.0,0.0,80.0
2009-4-2,0.22,18.13,9.17,16.631,0.0,0.0,80.0
2009-4-3,7.51,19.03,13.27,9.782,0.0,0.0,80.0
2009-4-4,5.31,16.02,10.66,11.423,0.0,0.0,80.0
2009-4-5,4.72,17.92,11.32,17.206,0.0,0.0,80.0
2009-4-6,4.3,21.12,12.71,19.121,0.0,0.0,80.0
2009-4-7,9.02,15.03,12.02,4.744,1.2,0.0,80.0
2009-4-8,7.21,18.12,12.67,17.91,0.0,0.0,80.0
2009-4-9,6.72,21.63,14.17,21.135,0.0,0.0,80.0
2009-4-10,9.92,23.12,16.52,19.087,1.6,0.0,80.0
2009-4-11,8.12,20.73,14.43,15.703,0.0,0.0,80.0
2009-4-12,10.13,19.32,14.73,13.48,0.0,0.0,80.0
2009-4-13,10.11,13.44,11.77,8.42,0.2,0.0,80.0
2009-4-14,7.21,21.72,14.46,17.787,0.0,0.0,80.0
2009-4-15,8.82,22.13,15.47,19.291,13.2,0.0,80.0
2009-4-16,8.73,10.23,9.48,4.192,10.6,0.0,80.0
2009-4-17,5.52,16.03,10.78,16.73,0.8,0.0,80.0
2009-4-18,6.82,15.12,10.97,12.024,3.8,0.0,80.0
2009-4-19,4.63,18.53,11.58,19.669,0.0,0.0,80.0
2009-4-20,7.51,21.03,14.27,22.187,0.0,0.0,80.0
2009-4-21,8.11,21.73,14.92,22.436,0.0,0.0,80.0
2009-4-22,7.22,19.03,13.13,23.537,0.0,0.0,80.0
2009-4-23,4.62,18.02,11.32,25.678,0.0,0.0,80.0
2009-4-24,2.32,16.82,9.57,24.923,0.0,0.0,80.0
2009-4-25,3.81,18.32,11.06,8.486,4.0,0.0,80.0
2009-4-26,10.32,15.03,12.68,6.868,11.6,0.0,80.0
2009-4-27,7.22,15.13,11.18,15.542,2.8,0.0,80.0
2009-4-28,6.22,13.53,9.88,15.553,3.8,0.0,80.0
2009-4-29,6.23,13.64,9.94,14.599,0.4,0.0,80.0
